,ticker,name,first_available_year
0,DBA,Invesco DB Agriculture Fund,2007
1,CORN,Teucrium Corn Fund,2010
2,WEAT,Teucrium Wheat Fund,2011
3,SOYB,Teucrium Soybean Fund,2010
4,TAGS,Teucrium Agricultural Fund,2012
5,RJA,Invesco DB Agriculture Fund,2007
6,JJG,iPath Series B Bloomberg Grains Subindex Total Return ETN,2018
7,GRU,ELEMENTS Linked to the Rogers International Commodity Index - Grains Total Return,2007
8,VEGI,iShares MSCI Agriculture Producers ETF,2012
9,MOO,VanEck Agribusiness ETF,2007
10,KROP,Global X AgTech & Food Innovation ETF,2021
11,FTAG,First Trust Indxx Global Agriculture ETF,2021
12,PAGG,PowerShares Global Agriculture Portfolio,2008
13,CANE,Teucrium Sugar Fund,2011
14,NIB,iPath Bloomberg Cocoa Subindex Total Return ETN,2008
15,JO,iPath Bloomberg Coffee Subindex Total Return ETN,2008
16,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,2018
17,LD,iPath Series B Bloomberg Livestock Subindex Total Return ETN,2018
18,COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,2018
